ensembl_id	ctrl-1	ctrl-2	ctrl-3	ctrl-4	ctrl-5	cyt-1	cyt-2	cyt-3	cyt-4	cyt-5
ENSG00000012779.6	5882	4193	2621	3646	4977	1118	1854	2123	2535	2591
ENSG00000012817.11	5460	4209	2937	3435	5998	2097	5293	5580	3605	4122
ENSG00000012822.11	4073	2949	1883	2574	4535	2518	5312	5764	4027	4047
ENSG00000012963.9	9436	7296	5371	6518	10414	3111	5908	6105	5077	5414
ENSG00000012983.7	5252	4287	3413	3741	5464	2874	5945	7034	4097	4115
ENSG00000013016.10	944	621	530	570	910	1562	2992	3482	2223	2024
ENSG00000013275.3	7128	5137	3578	4951	7712	3422	6953	7306	5771	5760
ENSG00000013288.4	7263	5028	3583	4304	6792	3773	8004	8345	5589	5993
ENSG00000013293.4	2878	1926	1446	1536	2530	1528	2267	2421	2265	2501
ENSG00000013297.6	228	142	108	111	186	116	165	182	144	148
ENSG00000013306.11	11226	7572	5308	7501	11893	3569	7399	7647	6360	6832
ENSG00000013364.14	533	343	200	225	357	2188	5262	5896	3147	3289
ENSG00000013374.11	4206	3577	2529	3645	5839	9395	20037	20841	15148	15371
ENSG00000013375.10	5305	3783	2914	3152	4941	2643	4838	5850	3908	3947
ENSG00000013392.6	1639	1136	826	825	1332	888	1834	2016	1188	1158
ENSG00000013441.11	9795	5907	3807	5326	9005	4670	8100	8266	5979	6339
ENSG00000013503.5	2082	1767	1064	1170	1987	749	1769	1748	997	1248
ENSG00000013523.5	12173	8096	5630	6358	10657	6077	13165	14034	8348	9492
ENSG00000013561.13	6536	4971	3802	3807	6372	3077	6934	7323	4409	4536
ENSG00000013563.8	1082	767	487	650	1086	400	753	792	613	662
ENSG00000013573.12	7518	5879	3731	6334	10362	2147	3039	3086	4549	4971
ENSG00000013583.4	2243	1777	1227	1597	2737	684	1389	1329	1275	1380
ENSG00000013588.5	1	3	1	1	2	0	0	0	3	1
ENSG00000013619.9	1986	1039	802	943	1525	1053	1767	1655	997	1206
ENSG00000013725.10	578	420	224	316	539	194	505	470	343	364
ENSG00000013810.14	5494	4677	3319	5440	8760	859	625	472	1893	2061
ENSG00000014123.9	7107	5321	4142	4192	6907	3243	7420	8552	4729	5111
ENSG00000014138.4	4634	3774	2943	3632	5490	1277	2111	2207	2635	2670
ENSG00000014164.6	1752	1528	924	1542	2691	1118	2197	2358	2170	2380
ENSG00000014216.11	10677	7186	5209	6519	10828	5406	11696	12115	9471	10137
ENSG00000014257.11	0	1	2	0	0	2	1	2	3	0
ENSG00000014641.13	15411	11579	8483	9857	15946	5981	13716	14811	8945	9968
ENSG00000014824.8	26755	18776	13810	15033	22913	10014	22554	23142	14128	15033
ENSG00000014914.15	1331	887	641	499	712	851	1718	2205	1236	1324
ENSG00000014919.8	5278	4032	3018	3198	5233	2398	5488	5631	3698	4038
